datetime,training_data,current_data,predicted_values 
01/09/22,45,,
02/09/22,50,,
03/09/22,40,,
04/09/22,36,,
05/09/22,80,,
06/09/22,53,,
07/09/22,38,,
08/09/22,34,,
09/09/22,82,,
10/09/22,34.5,,
11/09/22,34.5,,
12/09/22,24,,
13/09/22,46,,
14/09/22,57,,
15/09/22,46,,
16/09/22,46,,
17/09/22,43,,
18/09/22,17,,
19/09/22,50,,
20/09/22,53,,
21/09/22,43,,
22/09/22,65,,
23/09/22,145,,
24/09/22,41,,
25/09/22,105,,
26/09/22,40,,
27/09/22,46,46,46
28/09/22,43,45,45
29/09/22,35,33,33
30/09/22,42,31,31
01/10/22,58,30,30
02/10/22,35,27,27
03/10/22,53,27,27
04/10/22,48,28,28
05/10/22,46,30,30
06/10/22,55,37,37
07/10/22,43,35,35
08/10/22,64,34,34
09/10/22,61,32,32
10/10/22,50,33,33
11/10/22,51,31,31
12/10/22,43,37,37
13/10/22,44,38,38
